EmployeeID,PeriodStart,PeriodEnd,HourlyRate,HoursWorked,ExpectedGross,GrossPay,Underpaid,Flag
E001,2023-01-02,2023-01-16,30.31,85.0,2712.74,2712.74,0.01,No
E001,2023-01-16,2023-01-30,30.31,85.0,2712.74,2712.74,0.01,No
E001,2023-01-30,2023-02-13,30.31,87.0,2803.68,2782.91,20.76,Yes
E001,2023-02-13,2023-02-27,30.31,82.0,2576.35,2576.35,0.0,No
E002,2023-01-02,2023-01-16,22.33,86.0,2032.03,2032.03,0.0,No
E002,2023-01-16,2023-01-30,22.33,86.0,2032.03,2032.03,0.0,No
E002,2023-01-30,2023-02-13,22.33,87.0,2065.52,2065.53,-0.01,No
E002,2023-02-13,2023-02-27,22.33,83.0,1931.54,1931.54,0.0,No
E003,2023-01-02,2023-01-16,25.58,82.0,2174.3,2174.3,-0.0,No
E003,2023-01-16,2023-01-30,25.58,84.0,2251.04,2188.79,62.25,Yes
E003,2023-01-30,2023-02-13,25.58,82.0,2174.3,2137.39,36.91,Yes
E003,2023-02-13,2023-02-27,25.58,85.0,2289.41,2289.41,0.0,No
E004,2023-01-02,2023-01-16,24.9,82.0,2116.5,2116.5,0.0,No
E004,2023-01-16,2023-01-30,24.9,86.0,2265.9,2265.9,-0.0,No
E004,2023-01-30,2023-02-13,24.9,87.0,2303.25,2277.3,25.95,Yes
E004,2023-02-13,2023-02-27,24.9,86.0,2265.9,2265.9,-0.0,No
E005,2023-01-02,2023-01-16,31.57,84.0,2778.16,2778.16,0.0,No
E005,2023-01-16,2023-01-30,31.57,84.0,2778.16,2778.16,0.0,No
E005,2023-01-30,2023-02-13,31.57,84.0,2778.16,2683.86,94.3,Yes
E005,2023-02-13,2023-02-27,31.57,84.0,2778.16,2778.16,0.0,No
E006,2023-01-02,2023-01-16,30.8,89.0,2941.4,2941.4,0.0,No
E006,2023-01-16,2023-01-30,30.8,85.0,2756.6,2756.6,0.0,No
E006,2023-01-30,2023-02-13,30.8,84.0,2710.4,2710.4,0.0,No
E006,2023-02-13,2023-02-27,30.8,82.0,2618.0,2618.0,0.0,No
E007,2023-01-02,2023-01-16,33.6,88.0,3158.4,3158.4,0.0,No
E007,2023-01-16,2023-01-30,33.6,90.0,3259.2,3226.2,33.0,Yes
E007,2023-01-30,2023-02-13,33.6,89.0,3208.8,3208.8,0.0,No
E007,2023-02-13,2023-02-27,33.6,87.0,3108.0,3108.0,0.0,No
E008,2023-01-02,2023-01-16,23.13,89.0,2208.92,2208.91,0.01,No
E008,2023-01-16,2023-01-30,23.13,86.0,2104.83,2104.83,0.0,No
E008,2023-01-30,2023-02-13,23.13,85.0,2070.13,2070.13,0.0,No
E008,2023-02-13,2023-02-27,23.13,82.0,1966.05,1966.05,0.0,No
E009,2023-01-02,2023-01-16,27.48,85.0,2459.46,2459.46,0.0,No
E009,2023-01-16,2023-01-30,27.48,84.0,2418.24,2418.24,0.0,No
E009,2023-01-30,2023-02-13,27.48,82.0,2335.8,2335.8,0.0,No
E009,2023-02-13,2023-02-27,27.48,82.0,2335.8,2335.8,0.0,No
E010,2023-01-02,2023-01-16,22.39,84.0,1970.32,1970.32,0.0,No
E010,2023-01-16,2023-01-30,22.39,90.0,2171.83,2116.86,54.97,Yes
E010,2023-01-30,2023-02-13,22.39,86.0,2037.49,2037.49,0.0,No
E010,2023-02-13,2023-02-27,22.39,81.0,1869.56,1869.57,-0.0,No
E011,2023-01-02,2023-01-16,24.84,86.0,2260.44,2260.44,0.0,No
E011,2023-01-16,2023-01-30,24.84,86.0,2260.44,2260.44,0.0,No
E011,2023-01-30,2023-02-13,24.84,80.0,2036.88,2036.88,-0.0,No
E011,2023-02-13,2023-02-27,24.84,79.0,1999.62,1999.62,0.0,No
E012,2023-01-02,2023-01-16,28.57,83.0,2471.31,2429.44,41.87,Yes
E012,2023-01-16,2023-01-30,28.57,86.0,2599.87,2599.87,0.0,No
E012,2023-01-30,2023-02-13,28.57,87.0,2642.73,2642.73,-0.0,No
E012,2023-02-13,2023-02-27,28.57,84.0,2514.16,2514.16,0.0,No
E013,2023-01-02,2023-01-16,22.34,86.0,2032.94,2032.94,0.0,No
E013,2023-01-16,2023-01-30,22.34,90.0,2166.98,2166.98,0.0,No
E013,2023-01-30,2023-02-13,22.34,84.0,1965.92,1965.92,-0.0,No
E013,2023-02-13,2023-02-27,22.34,85.0,1999.43,1999.43,-0.0,No
E014,2023-01-02,2023-01-16,24.58,85.0,2199.91,2130.42,69.49,Yes
E014,2023-01-16,2023-01-30,24.58,81.0,2052.43,2052.43,0.0,No
E014,2023-01-30,2023-02-13,24.58,83.0,2126.17,2126.17,0.0,No
E014,2023-02-13,2023-02-27,24.58,83.0,2126.17,2093.83,32.34,Yes
E015,2023-01-02,2023-01-16,30.45,87.0,2816.62,2816.62,0.01,No
E015,2023-01-16,2023-01-30,30.45,82.0,2588.25,2588.25,0.0,No
E015,2023-01-30,2023-02-13,30.45,84.0,2679.6,2679.6,0.0,No
E015,2023-02-13,2023-02-27,30.45,89.0,2907.98,2907.97,0.01,No
E016,2023-01-02,2023-01-16,29.08,80.0,2384.56,2384.56,0.0,No
E016,2023-01-16,2023-01-30,29.08,89.0,2777.14,2732.48,44.66,Yes
E016,2023-01-30,2023-02-13,29.08,84.0,2559.04,2559.04,0.0,No
E016,2023-02-13,2023-02-27,29.08,82.0,2471.8,2471.8,-0.0,No
E017,2023-01-02,2023-01-16,24.87,87.0,2300.48,2300.48,-0.0,No
E017,2023-01-16,2023-01-30,24.87,85.0,2225.87,2225.87,-0.0,No
E017,2023-01-30,2023-02-13,24.87,86.0,2263.17,2263.17,0.0,No
E017,2023-02-13,2023-02-27,24.87,85.0,2225.87,2225.87,-0.0,No
E018,2023-01-02,2023-01-16,29.66,86.0,2699.06,2699.06,0.0,No
E018,2023-01-16,2023-01-30,29.66,85.0,2654.57,2606.26,48.31,Yes
E018,2023-01-30,2023-02-13,29.66,89.0,2832.53,2764.69,67.84,Yes
E018,2023-02-13,2023-02-27,29.66,86.0,2699.06,2699.06,0.0,No
E019,2023-01-02,2023-01-16,32.52,81.0,2715.42,2715.42,0.0,No
E019,2023-01-16,2023-01-30,32.52,87.0,3008.1,3008.1,0.0,No
E019,2023-01-30,2023-02-13,32.52,84.0,2861.76,2861.76,0.0,No
E019,2023-02-13,2023-02-27,32.52,91.0,3203.22,3111.13,92.09,Yes
E020,2023-01-02,2023-01-16,22.08,88.0,2075.52,2075.52,0.0,No
E020,2023-01-16,2023-01-30,22.08,85.0,1976.16,1976.16,-0.0,No
E020,2023-01-30,2023-02-13,22.08,85.0,1976.16,1976.16,-0.0,No
E020,2023-02-13,2023-02-27,22.08,83.0,1909.92,1909.92,-0.0,No
E021,2023-01-02,2023-01-16,32.48,82.0,2760.8,2760.8,-0.0,No
E021,2023-01-16,2023-01-30,32.48,87.0,3004.4,3004.4,-0.0,No
E021,2023-01-30,2023-02-13,32.48,88.0,3053.12,3053.12,-0.0,No
E021,2023-02-13,2023-02-27,32.48,86.0,2955.68,2955.68,-0.0,No
E022,2023-01-02,2023-01-16,31.08,86.0,2828.28,2773.51,54.77,Yes
E022,2023-01-16,2023-01-30,31.08,91.0,3061.38,3061.38,0.0,No
E022,2023-01-30,2023-02-13,31.08,85.0,2781.66,2781.66,0.0,No
E022,2023-02-13,2023-02-27,31.08,85.0,2781.66,2741.52,40.14,Yes
E023,2023-01-02,2023-01-16,26.42,83.0,2285.33,2285.33,0.0,No
E023,2023-01-16,2023-01-30,26.42,84.0,2324.96,2324.96,0.0,No
E023,2023-01-30,2023-02-13,26.42,87.0,2443.85,2443.85,0.0,No
E023,2023-02-13,2023-02-27,26.42,82.0,2245.7,2245.7,0.0,No
E024,2023-01-02,2023-01-16,24.02,84.0,2113.76,2113.76,0.0,No
E024,2023-01-16,2023-01-30,24.02,81.0,2005.67,2005.67,0.0,No
