SKU,SKUName,Category,Subcat,UnitsSold,AvgSellPrice,AvgUnitCost,UnitMargin,TotalMargin,Revenue,VendorID,VendorName,Region,Terms
SKU000243,Director Tea,Beverages,Tea,1472.0,5.635246,3.5770817023445463,0.44923434355828284,661.2729537177923,8295.082112,V0079,"Blake, Barnett and Trevino",QLD,Net60
SKU000083,Take Wipes,Cleaning,Wipes,1661.0,8.78818,6.19671103117506,3.602168343558283,5983.201618650308,14597.166980000002,V0022,Pierce Ltd,WA,Net30
SKU000126,Us Spray,Cleaning,Spray,1439.0,9.792223333333332,5.837000530503978,4.606211676891615,6628.338603047034,14091.009376666665,V0058,"Schroeder, Gibbs and Smith",NSW,Net30
SKU000522,Might Toothpaste,Personal Care,Toothpaste,1267.0,7.778687142857143,6.9049144773358,2.592675486415425,3284.919841288344,9855.59661,V0044,Taylor-Le,TAS,Net30
SKU000539,Probably Wet Food,Pet,Wet Food,1306.0,7.4784559999999995,4.645458922742112,2.292444343558282,2993.9323126871163,9766.863535999999,V0056,Mckinney PLC,SA,Net45
SKU000004,Possible Treats,Pet,Treats,850.0,7.577875,6.856929065040651,2.391863343558282,2033.0838420245398,6441.193749999999,V0007,"Townsend, Russell and Ramos",NSW,Net45
SKU000477,Against Chips,Snacks,Chips,1142.0,6.898067999999999,9.592968158347675,1.7120563435582818,1955.168344343558,7877.593655999999,V0067,Kelly LLC,VIC,Net60
SKU000371,Star Juice,Beverages,Juice,1964.0,4.904642727272727,3.5747519129782446,-0.28136892916899026,-552.6085768878969,9632.718316363636,V0024,"Rodriguez, Caldwell and Sims",VIC,Net60
SKU000253,Force Wipes,Cleaning,Wipes,2276.0,6.94389375,9.5379,1.7578820935582824,4000.939644938651,15804.302175,V0004,"Rose, Kramer and Smith",QLD,Net45
SKU000165,Claim Shampoo,Personal Care,Shampoo,1416.0,7.105034999999999,3.6672305333333335,1.9190233435582815,2717.3370544785266,10060.729559999998,V0005,"Patterson, Thomas and Potter",VIC,Net60
SKU000496,Someone Coffee,Beverages,Coffee,3383.0,7.789752307692309,7.166049056603773,2.6037406512505914,8808.45462318075,26352.73205692308,V0025,Reed-Harper,NSW,Net30
SKU000502,My Tea,Beverages,Tea,1470.0,8.844215,7.4663460046547705,3.6582033435582826,5377.558915030675,13000.99605,V0033,Hoffman Group,QLD,Net60
SKU000289,Speak Tea,Beverages,Tea,1596.0,5.394416249999999,5.758263153384747,0.20840459355828145,332.6137313190172,8609.488334999998,V0018,"Ortiz, Diaz and Hayes",NSW,Net60
SKU000135,Wish Chips,Snacks,Chips,2532.0,9.610685555555555,8.557096315789472,4.424673899113838,11203.274312556237,24334.255826666667,V0054,Barron-Howell,SA,Net60
SKU000216,Discuss Nuts,Snacks,Nuts,871.0,9.164280999999999,8.127412837432514,3.9782693435582814,3465.0725982392632,7982.088750999999,V0002,"Campbell, Bridges and Fritz",SA,Net45
SKU000360,Five Shampoo,Personal Care,Shampoo,930.0,10.089838333333335,9.151123625377643,4.903826676891617,4560.5588095092035,9383.54965,V0025,Reed-Harper,NSW,Net30
SKU000553,Sort Shampoo,Personal Care,Shampoo,1055.0,8.51181375,6.300334351145039,3.3258020935582824,3508.721208703988,8979.96350625,V0076,Perez-Melendez,NSW,Net45
SKU000370,About Tea,Beverages,Tea,2019.0,6.993516538461539,5.156261365822379,1.8075048820198214,3649.3523567980196,14119.909891153848,V0009,"Crane, Richardson and Moore",TAS,Net45
SKU000416,Low Spray,Cleaning,Spray,2518.0,5.080747999999999,4.083232506082725,-0.10526365644171864,-265.0538869202475,12793.323463999997,V0016,"Zhang, Jones and Castro",TAS,Net30
SKU000221,He Wipes,Cleaning,Wipes,1118.0,7.20562375,9.942528813559322,2.0196120935582824,2257.9263205981597,8055.8873525,V0009,"Crane, Richardson and Moore",TAS,Net45
SKU000287,Listen Wet Food,Pet,Wet Food,1218.0,5.80371,7.485406855006233,0.6176983435582821,752.3565824539876,7068.91878,V0077,"Miller, Castillo and Vasquez",SA,Net45
SKU000339,Environment Chips,Snacks,Chips,1109.0,6.765593749999999,6.200529373297002,1.5795820935582814,1751.756541756134,7503.043468749999,V0060,"Thompson, Dawson and King",NSW,Net30
SKU000008,Seek Wet Food,Pet,Wet Food,1755.0,6.63556,6.395075538656528,1.4495483435582823,2543.9573429447855,11645.407799999999,V0067,Kelly LLC,VIC,Net60
SKU000345,Might Wipes,Cleaning,Wipes,1348.0,6.231340833333333,7.211581618887016,1.0453291768916158,1409.103730449898,8399.847443333334,V0051,Hartman-Jones,WA,Net45
SKU000536,Defense Bars,Snacks,Bars,1176.0,6.669354285714285,7.5053111457521435,1.4833426292725678,1744.4109320245398,7843.160639999999,V0023,"Walker, Lynch and Hawkins",WA,Net30
SKU000010,According Wipes,Cleaning,Wipes,1349.0,10.61560357142857,4.806006938421509,5.429591914986853,7324.519493317264,14320.449217857142,V0060,"Thompson, Dawson and King",NSW,Net30
SKU000050,Through Tea,Beverages,Tea,2543.0,6.60035,4.162302430307363,1.4143383435582821,3596.6624076687117,16784.69005,V0058,"Schroeder, Gibbs and Smith",NSW,Net30
SKU000577,Record Juice,Beverages,Juice,782.0,6.26633,4.271199038461539,1.0803183435582824,844.8089446625768,4900.27006,V0063,"Pratt, Burns and Berry",SA,Net60
SKU000406,Avoid Toothpaste,Personal Care,Toothpaste,1611.0,9.67662,5.699778031634446,4.490608343558282,7234.370041472393,15589.034819999999,V0023,"Walker, Lynch and Hawkins",WA,Net30
SKU000562,State Tea,Beverages,Tea,839.0,8.900955,9.270179651436646,3.714943343558282,3116.8374652453986,7467.901245,V0078,"Jacobs, Lewis and Cole",VIC,Net45
SKU000259,Same Treats,Pet,Treats,1127.0,6.026790000000001,5.8717808243101635,0.8407783435582834,947.5571931901854,6792.192330000001,V0023,"Walker, Lynch and Hawkins",WA,Net30
SKU000311,Agree Spray,Cleaning,Spray,1971.0,6.648637777777776,7.825040666439987,1.4626261213360587,2882.8360851533716,13104.465059999997,V0077,"Miller, Castillo and Vasquez",SA,Net45
SKU000086,Turn Juice,Beverages,Juice,1182.0,4.2321542857142855,7.394194078947369,-0.953857370727432,-1127.4594121998248,5002.406365714285,V0031,Ware Group,QLD,Net30
SKU000433,Child Dry Food,Pet,Dry Food,2323.0,9.385889444444446,6.27274988372093,4.199877788002729,9756.31610153034,21803.42117944445,V0054,Barron-Howell,SA,Net60
SKU000213,Bar Detergent,Cleaning,Detergent,1531.0,11.608204166666667,6.090987486910994,6.422192510224949,9832.376733154397,17772.160579166666,V0072,Jones-Johnson,QLD,Net45
SKU000271,However Bars,Snacks,Bars,1608.0,6.6761035714285715,5.179780398899587,1.490091914986854,2396.0677992988612,10735.174542857143,V0079,"Blake, Barnett and Trevino",QLD,Net60
SKU000059,Fall Water,Beverages,Water,653.0,5.9364833333333324,6.83627628075837,0.7504716768916149,490.0580050102245,3876.523616666666,V0039,"Mendoza, King and Haley",SA,Net30
SKU000356,Great Spray,Cleaning,Spray,1629.0,6.3185505555555554,8.945966159539473,1.1325388991138379,1844.905866656442,10292.918855,V0080,"Wilkins, Baker and Olson",TAS,Net45
SKU000062,Close Wipes,Cleaning,Wipes,563.0,11.343081666666668,6.059103099730459,6.157070010224951,3466.430415756647,6386.154978333334,V0037,Jones-Morgan,VIC,Net60
SKU000379,Debate Treats,Pet,Treats,1387.0,6.003116666666667,5.903190709504686,0.8171050102249495,1133.324649182005,8326.322816666667,V0036,Johnson-Wright,NSW,Net30
SKU000385,Task Bars,Snacks,Bars,3477.0,10.449422083333333,7.753943583384998,5.263410426891616,18300.87805430215,36332.64058375,V0042,"Mejia, Washington and Orr",TAS,Net30
SKU000054,Movement Dry Food,Pet,Dry Food,2786.0,8.844703636363635,8.47241219512195,3.658691979921917,10193.11585606246,24641.344330909087,V0074,Cummings-Bryant,SA,Net60
SKU000057,Piece Tea,Beverages,Tea,1317.0,9.662197142857142,5.547004103214889,4.4761854864154245,5895.136285609114,12725.113637142857,V0013,Harrison and Sons,VIC,Net60
SKU000413,Enough Nuts,Snacks,Nuts,1078.0,8.542553333333332,5.774273180970149,3.3565416768916148,3618.3519276891607,9208.872493333332,V0049,Thomas Group,NSW,Net45
SKU000162,Such Toothpaste,Personal Care,Toothpaste,1043.0,3.514976,5.258524880219028,-1.6710356564417177,-1742.8901896687116,3666.119968,V0034,Schroeder-Webb,NSW,Net45
SKU000517,Week Detergent,Cleaning,Detergent,1061.0,7.050813,4.679576771084337,1.8648013435582822,1978.5542255153375,7480.912593,V0008,Fernandez-Benson,TAS,Net30
SKU000226,Question Tea,Beverages,Tea,2376.0,9.839822,10.35556026957638,4.653810343558282,11057.45337629448,23379.417072,V0047,"Wright, Sosa and Fisher",NSW,Net60
SKU000481,Sea Wipes,Cleaning,Wipes,1078.0,5.802978,5.437044047135312,0.6169663435582828,665.089718355829,6255.610284,V0008,Fernandez-Benson,TAS,Net30
SKU000229,Security Bars,Snacks,Bars,1589.0,6.396795714285714,5.375553846153846,1.2107840578439966,1923.9358679141105,10164.508389999999,V0058,"Schroeder, Gibbs and Smith",NSW,Net30
SKU000351,Low Coffee,Beverages,Coffee,1087.0,5.424878571428571,7.94316149870801,0.2388669149868532,259.64833659070945,5896.843007142857,V0031,Ware Group,QLD,Net30
SKU000419,Without Water,Beverages,Water,1464.0,8.151482857142856,7.751087143315165,2.9654712007011383,4341.449837826466,11933.77090285714,V0010,Martinez Inc,SA,Net60
SKU000579,Act Juice,Beverages,Juice,528.0,4.651538333333334,6.8717709567751335,-0.5344733231083838,-282.20191460122663,2456.01224,V0076,Perez-Melendez,NSW,Net45
SKU000409,Society Soap,Personal Care,Soap,1276.0,7.9357240000000004,7.543249251101321,2.749712343558283,3508.632950380369,10125.983824,V0067,Kelly LLC,VIC,Net60
SKU000067,Leave Detergent,Cleaning,Detergent,1211.0,7.4623333333333335,6.2452905950752395,2.276321676891616,2756.625550715747,9036.885666666667,V0018,"Ortiz, Diaz and Hayes",NSW,Net60
SKU000290,Us Spray,Cleaning,Spray,1650.0,9.715146875,5.373387543252596,4.529135218558283,7473.073110621166,16029.99234375,V0028,Vega Ltd,TAS,Net45
SKU000540,Coach Juice,Beverages,Juice,1292.0,6.6480075,4.581021854043392,1.4619958435582827,1888.8986298773013,8589.225690000001,V0074,Cummings-Bryant,SA,Net60
SKU000329,Language Nuts,Snacks,Nuts,2637.0,6.652012999999999,7.0568547196593325,1.4660013435582817,3865.845542963189,17541.358280999997,V0033,Hoffman Group,QLD,Net60
SKU000559,Nothing Nuts,Snacks,Nuts,2080.0,11.87022,8.044950363783347,6.684208343558282,13903.153354601227,24690.0576,V0011,Martin-Chandler,VIC,Net30
SKU000242,Around Nuts,Snacks,Nuts,533.0,11.764428749999999,7.104861227336122,6.578417093558281,3506.296310866564,6270.44052375,V0048,"Sullivan, Benjamin and Whitehead",SA,Net60
SKU000073,Contain Detergent,Cleaning,Detergent,371.0,10.361506666666667,7.256355947712419,5.1754950102249495,1920.1086487934563,3844.1189733333335,V0027,Waters LLC,NSW,Net60
SKU000469,Job Treats,Pet,Treats,1282.0,7.9437,7.379030888404743,2.757688343558282,3535.356456441718,10183.8234,V0051,Hartman-Jones,WA,Net45
SKU000498,Provide Wipes,Cleaning,Wipes,1236.0,7.932563,6.805033861003861,2.7465513435582825,3394.737460638037,9804.647868,V0077,"Miller, Castillo and Vasquez",SA,Net45
SKU000450,Mission Nuts,Snacks,Nuts,1396.0,7.407112857142857,3.912493899204244,2.2211012007011393,3100.65727617879,10340.329548571428,V0075,Ross LLC,NSW,Net45
SKU000503,Peace Nuts,Snacks,Nuts,1965.0,10.071092857142856,7.877718219037871,4.885081200701139,9599.184559377738,19789.697464285713,V0028,Vega Ltd,TAS,Net45
SKU000184,Customer Spray,Cleaning,Spray,1438.0,8.191796875,3.5820472429210133,3.005785218558282,4322.319144286809,11779.80390625,V0031,Ware Group,QLD,Net30
SKU000190,Always Chips,Snacks,Chips,945.0,8.438768333333334,5.763412104981252,3.2527566768916163,3073.8550596625773,7974.636075,V0023,"Walker, Lynch and Hawkins",WA,Net30
SKU000182,Resource Bars,Snacks,Bars,1557.0,4.6062840000000005,5.476955137254902,-0.5797276564417171,-902.6359610797535,7171.984188,V0015,"Novak, Shannon and Fischer",WA,Net30
SKU000097,School Treats,Pet,Treats,668.0,6.5598529999999995,4.851624118658641,1.373841343558282,917.7260174969323,4381.981804,V0027,Waters LLC,NSW,Net60
SKU000025,President Chips,Snacks,Chips,3026.0,6.9493565384615374,8.921994641909814,1.7633448820198199,5335.881612991975,21028.752885384612,V0016,"Zhang, Jones and Castro",TAS,Net30
